0x00412 -0x00412 0x005C2 0x00000
0x0059E 0x00000 0x003F9 0x003F9
0x003DE 0x003DE 0x00000 0x00578
-0x00001 0x0054E -0x003C1 0x003C0
-0x003A1 0x003A0 -0x00521 -0x00001
-0x004F1 0x00000 -0x0037E -0x0037E
-0x0035B -0x0035B 0x00000 -0x004BF
-0x00001 -0x0048C 0x00336 -0x00338
0x00311 -0x00313 0x00457 -0x00001
0x00421 -0x00001 0x002EC 0x002EB
0x002C5 0x002C4 0x00001 0x003EA
0x00001 0x003B2 -0x0029C 0x0029E
-0x00275 0x00277 -0x0037B 0x00001
-0x00343 0x00001 -0x0024F -0x0024E
-0x00228 -0x00226 -0x00001 -0x0030B
-0x00001 -0x002D3 0x001FE -0x00200
0x001D7 -0x001D9 0x0029B -0x00001
0x00264 0x00000 0x001B1 0x001B1
0x0018A 0x0018A 0x00000 0x0022D
-0x00001 0x001F8 -0x00165 0x00164
-0x00140 0x0013F -0x001C4 -0x00001
-0x00191 -0x00001 -0x0011B -0x0011C
-0x000F8 -0x000F9 0x00001 -0x0015F
0x00001 -0x00130 0x000D8 -0x000D6
0x000B7 -0x000B5 0x00101 0x00001
0x000D4 0x00001 0x00095 0x00097
0x00077 0x00079 -0x00001 0x000AA
-0x00001 0x00081 -0x0005C 0x0005B
-0x00041 0x00040 -0x0005B -0x00001
-0x00036 0x00000 -0x00026 -0x00026
-0x0000D -0x0000D 0x00000 -0x00012
-0x00001 0x0000F -0x0000B 0x0000A
-0x00021 0x00020 -0x0002E -0x00001
-0x0004B -0x00001 -0x00034 -0x00036
-0x00047 -0x00049 0x00001 -0x00066
0x00001 -0x0007F 0x0005A -0x00059
0x0006A -0x00069 0x00095 0x00001
0x000AA 0x00001 0x00078 0x00079
0x00086 0x00087 -0x00001 0x000BE
-0x00001 0x000D0 -0x00094 0x00092
-0x0009F 0x0009D -0x000DF -0x00001
-0x000ED 0x00000 -0x000A8 -0x000A8
-0x000B1 -0x000B0 -0x00001 -0x000FA
-0x00001 -0x00104 0x000B7 -0x000B9
0x000BD -0x000BF 0x0010D -0x00001
0x00115 -0x00001 0x000C5 0x000C3
0x000C9 0x000C7 0x00001 0x0011B
0x00001 0x0011F -0x000CA 0x000CC
-0x000CC 0x000CE -0x00122 0x00001
-0x00123 0x00001 -0x000CE -0x000CD
-0x000CF -0x000CE -0x00001 -0x00124
-0x00001 -0x00123 0x000CD -0x000CE
0x000CC -0x000CD 0x00121 -0x00001
0x0011E 0x00000 0x000CA 0x000CA
0x000C7 0x000C8 -0x00001 0x0011A
-0x00001 0x00115 -0x000C5 0x000C3
-0x000C1 0x000BF -0x0010F -0x00001
-0x00109 0x00000 -0x000BB -0x000BB
-0x000B6 -0x000B6 0x00000 -0x00101
-0x00001 -0x000F9 0x000AF -0x000B1
0x000AA -0x000AB 0x000F1 -0x00001
0x000E8 0x00000 0x000A4 0x000A4
0x0009E 0x0009E 0x00000 0x000DF
-0x00001 0x000D6 -0x00098 0x00097
-0x00091 0x00090 -0x000CC -0x00001
-0x000C3 -0x00001 -0x00089 -0x0008B
-0x00082 -0x00084 0x00001 -0x000B9
0x00001 -0x000AF 0x0007C -0x0007B
0x00075 -0x00074 0x000A5 0x00001
0x0009B 0x00001 0x0006D 0x0006E
0x00066 0x00067 -0x00001 0x00091
-0x00001 0x00087 -0x00060 0x0005F
-0x00059 0x00059 -0x0007E 0x00000
-0x00075 0x00000 -0x00053 -0x00053
-0x0004C -0x0004C 0x00000 -0x0006B
-0x00001 -0x00062 0x00045 -0x00046
0x0003E -0x0003F 0x00058 -0x00001
0x0004F -0x00001 0x00039 0x00037
0x00033 0x00031 0x00001 0x00047
0x00001 0x0003E -0x0002B 0x0002D
-0x00025 0x00027 -0x00036 0x00001
-0x0002E 0x00001 -0x00021 -0x00020
